Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
ATRIUM HEALTH,55,6,1,0,0,0,0,0,100,0,3.8,3.8,3.3,2.8,4.1,3.5,1.1,51.6,33,0.8,3,0.5,6975.87,1162.65,0,0,20.3,11.5,1.8,2.4,65.4,86.8,81.2,1.81,1.02,11.2,1.6,15.4,3.1,1.4,37.2,23.2,97.5,88.4,0,54.5,5.6,1.3,24.7,10.9,43,1.9
AUTUMN LAKE HEALTHCARE,56,48,5,0,1,3,6.3,100,0,0,2.2,2.3,1.9,3.2,3.5,3.1,0.6,59.2,58.1,0.7,63,1.3,892606.28,18595.96,3,0.1,23.4,9.9,1.5,2.9,73.9,73.3,77.5,1.45,0.88,13,2,9.5,1.5,1,26.4,23.2,95.4,90.7,0.1,68.4,6,21.2,13.7,11.7,44.7,20.9
AVALON HEALTH CARE,57,22,5,0,1,2,9.1,95.5,0,4.5,3.1,2.5,3.4,4.1,4.2,3.8,0.9,60.7,54.5,0.8,66,3,871379.38,39608.15,3,0.1,16.7,14.3,1.2,2,73,88.6,88.8,1.15,0.88,11,3.1,7,1.6,1,17.9,12.9,97.5,97.4,0,47.8,5,8,17.4,10,45.5,15.3
AVAMERE,58,33,2,1,0,5,15.2,100,0,0,3,2.8,3.5,3.8,4.5,3.9,0.7,52.7,58.1,1,79,2.4,2617092.51,79305.83,6,0.2,19.6,15,1.3,2.7,80.3,82.9,88.4,1.39,1.18,14.2,2.8,8.6,2.2,2,21.7,14.3,93.8,94.8,0,55,5.5,10.4,10.6,9.2,48.7,8.8
AVANTE CENTERS,59,11,1,0,0,1,9.1,100,0,0,2.4,2.5,2.2,3.5,3.5,3.2,0.4,,,,10,0.9,164816.25,14983.3,0,0,27.8,10.3,2.3,2.6,83.2,72.8,75.1,2.64,0.96,8.9,2.1,9.7,0.9,0.8,10.2,8.1,93.3,91.9,0,53.3,7.7,2.2,20.6,11.2,15.8,53.7
AVENTURA HEALTH GROUP,60,12,3,0,1,1,8.3,83.3,16.7,0,1.6,1.8,1.8,2.8,3.4,3.1,0.5,58.8,58.6,1.2,32,2.7,974536.47,81211.37,7,0.6,26.1,12.5,2.1,2.4,72.3,56.9,59.3,1.96,1.19,15.7,2.8,8.6,0.9,0.7,16,16.7,88.8,78.2,0,46.8,8.3,17.8,20.3,10.4,35,5.4
AVERA HEALTH,61,10,3,0,0,0,0,0,100,0,4,3.3,4.5,3.4,4,3.4,1,38.6,24.2,1.3,14,1.4,69655.15,6965.52,2,0.2,18.4,13.9,2,2.4,83.9,88.2,94.4,1.33,1.22,14,4.5,5.5,2,2,18,16.5,99,98.5,0,55.4,4.3,2.1,13.6,9.6,69.3,3.5
AXIOM HEALTHCARE SERVICES,62,5,2,0,0,0,0,100,0,0,4,3.4,3.8,4.4,4.9,4.3,0.9,67.8,64.4,1,13,2.6,118871.35,23774.27,0,0,25,7.1,0.5,2.4,78,92.3,91.4,1.77,0.66,6.1,7.6,8.7,0.2,0.7,17.7,16.1,98.1,97.7,0,42.8,2.5,4.2,18.3,10,50.4,1
AYDEN HEALTHCARE,63,11,1,0,0,2,18.2,100,0,0,2.2,1.9,1.6,4.5,3.4,3,0.4,53.8,51.1,1.3,43,3.9,495650.23,45059.11,2,0.2,23,12,0.8,3.3,80.3,62.2,64.4,1.64,1.51,7,2.3,7,0.5,0.1,10,10.6,87.9,78,0,39.3,5,27.1,24.3,10.5,45.1,31
AZRIA HEALTH,64,11,3,0,1,0,0,100,0,0,1.9,2.2,2.8,2.1,3.9,3.4,0.5,57.7,59.4,1.3,17,1.5,360195.03,32745,8,0.7,26.5,14.4,2.5,3.5,81.5,64.9,68.3,2.06,1.68,16.6,3.5,8.7,3.5,2.4,21.1,16.1,92.2,82.8,0.4,45.7,5.1,3.1,19.7,9.8,44.4,5.4
BALL HEALTHCARE SERVICES,66,10,1,0,0,1,10,100,0,0,2.2,2.3,3,2.9,3.4,2.8,0.6,39.4,31.2,0.6,4,0.4,11600.55,1160.06,0,0,20.1,13.2,3.6,4.2,72.6,72.2,81.8,2.06,1.11,17.7,2.3,11.1,4.4,2.1,17.5,13.9,88.5,86,0.2,37.4,6.2,0.5,18.7,10.1,42.2,11.1
BALLAD HEALTH,67,4,2,0,0,0,0,0,75,25,2.8,3.3,3.3,2.3,4.2,3.4,0.9,48.6,45.2,1,3,0.8,16330,4082.5,1,0.3,22.5,12,2.7,4.3,58,69.6,87.2,1.41,0.98,16.7,1.4,6.3,3.5,3.2,28.9,25.4,94.1,94.4,1.8,51.9,2.9,2.4,24.8,10.5,62,9.6
BANECARE MANAGEMENT,68,9,1,0,0,0,0,100,0,0,3.2,3,2.9,3.8,3.6,3.2,0.6,55,54.4,0.4,22,2.4,514436.1,57159.57,0,0,23.6,9.6,1.5,2.7,78.7,83.7,76.5,1.47,0.72,21.7,4.6,7.9,2,0.9,15.1,13.1,95.6,86.7,0,57.8,5.8,0.8,17.1,10.5,65,21.6
BEACON HEALTH MANAGEMENT,69,24,2,2,0,0,0,100,0,0,1.3,1.7,1.3,1.7,2.9,2.6,0.4,66.7,72.8,1.2,260,10.8,2352463.17,98019.3,11,0.5,23,18.3,5.2,4.3,72.3,68.1,65.8,1.94,1.79,34.4,4,8.1,2.9,1.7,20.9,19.2,94.7,84.3,0.1,38.4,7.2,5.2,30.9,10.6,20.2,6.6
BEAR MOUNTAIN HEALTHCARE,70,13,2,0,2,1,7.7,100,0,0,1.8,1.9,2.3,2.8,3.3,3,0.5,48.2,56.4,1.3,40,3.1,1339344.62,103026.51,3,0.2,24.9,12.5,1.6,2,71.1,66,67.5,1.91,1.06,20.7,3,9.8,2.1,1.3,17.7,16.8,94.3,82.1,0.1,53.4,6.3,2.6,21,11,64.8,15.3
BEDFORD CARE CENTERS,71,7,1,0,0,1,14.3,100,0,0,2.4,2.6,3.1,2,4.1,3.6,0.6,61.2,50.7,0.4,12,1.7,454615.2,64945.03,2,0.3,31.4,11.5,1.6,1.2,60.3,74.3,95.9,2.82,2.27,20.9,2.9,7.6,3,1.5,20.1,13.5,92.4,98.6,0.5,51.4,10.9,5.9,25.6,11.5,56.2,3
BEDROCK CARE,72,20,2,1,1,5,25,100,0,0,1.6,1.6,1.7,3,3.4,3.1,0.5,65.8,64.9,1.3,83,4.2,1853627.45,92681.37,9,0.5,25.7,12.2,1.9,3.1,79.4,57.3,57.9,1.64,0.99,16.7,2.3,8.6,2.2,1.2,16.3,16.3,92.5,79.7,0,46.5,8.4,1.9,19.4,10.5,24,5.6
BEDROCK HEALTHCARE,73,10,4,0,2,3,30,100,0,0,1.2,1.2,2.7,2.4,3.8,3.4,0.6,59.8,63.7,1.1,31,3.1,1231765.79,123176.58,9,0.9,27.6,15.7,1.4,4.5,77.1,62,70.6,1.83,1.8,15.8,3.6,13.1,3.1,2.5,20.2,16.9,86.9,85.1,0,52.3,9,11.3,15.2,10.7,37.3,3.1
BEEBE FAMILY,74,40,2,0,0,1,2.5,100,0,0,2.5,3,2.3,1.7,3.6,3,0.3,53,37.8,0.4,36,0.9,472657.12,11816.43,5,0.1,28.9,16.3,3.2,3.2,66.9,88.6,94.8,2.56,1.92,18.7,3.9,9.5,2.8,1.8,15.6,18.2,96.5,98.9,0,44.6,4.8,1.3,19.8,11.3,32,15
BENEDICTINE HEALTH SYSTEM,75,22,4,0,0,0,0,0,100,0,2.8,2.6,3.7,3.2,3.8,3.3,0.9,54.7,46.3,0.8,30,1.4,737483.69,33521.99,7,0.3,20.5,12.7,1.8,2.7,74.1,84.8,88.2,1.55,1.29,16.9,3.4,7.8,2.9,2.3,15.6,14.7,96.2,93.4,0,52.1,5.1,5.5,14.5,9.8,53.8,7.7
BENJAMIN LANDA,646,77,4,2,3,8,10.4,100,0,0,3,3,2.4,3.3,3.6,3.2,0.6,54.7,52,0.8,119,1.5,3819245.34,49600.59,3,0,22.5,12.6,2.2,3.2,74,81.7,81.9,2.05,1.4,13.8,3.3,10.1,1.8,0.7,12.6,13.9,95.7,93.2,0,44.5,6.4,15.6,25.1,10.7,37.1,9
BEST CARE SERVICES,583,8,1,1,1,2,25,100,0,0,1.4,1.4,3.1,2,3.5,3.1,0.6,48.6,64.2,1.3,58,7.3,1644489.67,205561.21,4,0.5,26.6,15,1.5,2.8,70.2,56.1,65.2,2.04,1.56,18.4,5.1,5.7,2.2,0.8,23.3,21.9,89.2,83.6,0,60,7.5,3.5,16.9,11.5,44.8,28.1
BETHESDA HEALTH,77,2,2,0,0,0,0,0,100,0,3.5,3.5,3,3.5,4.4,3.8,0.6,,,2,4,2,51109,25554.5,0,0,23.6,15.8,1,4.4,78.3,48.7,47.5,2.27,1.73,0.8,7.5,14,1.4,0,19.2,16.5,85.9,73.8,0,79.6,14.8,14.4,17.6,10.7,11.6,0
BGM ESTATE,78,15,1,0,2,2,13.3,100,0,0,1.9,2.1,1.9,2.9,3.4,3.1,0.3,59.5,46.7,1.3,54,3.6,976421.99,65094.8,9,0.6,27.7,13.5,3.3,3.7,68.2,68,75.2,2.59,1.98,11.4,4.2,10.5,5,1.8,9.5,10.8,90.7,83.6,0.2,35.5,4,2.7,26.3,11.2,23.4,7.4
"BHCP OK4 HH-H SPONSOR, LLC",79,7,1,0,1,0,0,100,0,0,2.1,2.6,2.3,1.7,3.5,3.1,0.3,60.8,61.1,0.2,21,3,99508.84,14215.55,2,0.3,27.7,15,1.9,2.9,73.3,50.5,62.2,2.11,1.67,14,3.7,9,3.9,2.2,17.6,17,95.6,87,0,33.5,7,3.1,24.8,10.7,30.6,13
BHI SENIOR LIVING,80,6,2,0,0,0,0,0,83.3,16.7,4.5,4.5,4,4,5.6,4.9,1.3,51.6,36.9,0.4,4,0.7,11712.94,1952.16,0,0,21.8,11.2,1.1,3.5,83.9,82.8,91.8,1.71,1.26,17.5,3.7,8.9,0.9,1.3,19.3,12.3,96.8,95.4,0,65.1,8,5.4,19.4,10.4,67.3,8.7
"BHVC, LLC",82,9,1,0,0,0,0,100,0,0,2.8,2.6,3,3.7,4.1,3.7,0.5,59.2,50.7,1.7,87,9.7,374636.8,41626.31,1,0.1,24.9,14.1,1.1,1.3,79.6,91.4,99.4,2.08,1.06,9,1.8,5,1.4,1.6,10.5,9,96.8,100,0,41.4,5.3,3.9,12.9,10.7,49.6,18.8
BIG ROCK SNF HOLDINGS,606,9,1,0,0,0,0,100,0,0,2.8,3,2.7,2.1,3.8,3.2,0.3,58.2,72.5,0.8,9,1,49554.83,5506.09,1,0.1,27.7,15.8,4.4,1.9,76.1,75.9,74.2,2.58,1.87,15.7,3.6,11.4,2.6,0.9,17.5,16.6,97.8,95.7,0,38.6,5.1,0.9,26.3,10.4,28.2,0.4
BIRCHWOOD,634,6,1,0,1,1,16.7,83.3,0,16.7,2.5,3,1.2,3.3,3.1,2.8,0.3,57.5,62.8,1.8,16,2.7,104841.69,17473.62,2,0.3,27.7,12.7,1.5,2.1,64.5,75.3,77.4,2.16,1.1,11.5,3.8,5.2,0.4,1.1,10.8,20.1,95.3,92.5,0,49.4,5,8,25.3,10,39.4,22.1
BLUE CENTRAL GROUP,83,3,2,0,1,1,33.3,100,0,0,1.3,1,1,3.7,3,2.8,0.3,81.2,85,1,15,5,180146.96,60048.99,3,1,28.4,7.5,1.5,0.9,68.2,49.1,61.1,2.29,1.02,18,1.7,11,0.4,1.1,11.5,10.9,85.3,84.3,0,40.1,7.1,1.2,16.6,11.5,43.1,19
BLUE RIDGE HEALTHCARE,84,3,3,0,0,0,0,100,0,0,1.7,2.7,1,1.7,3.1,2.9,0.3,75.5,87.5,2,29,9.7,428272.93,142757.64,1,0.3,25.8,17.9,4.1,0.8,40.3,52.3,55.9,2.77,2.14,19.9,3.1,10.9,2.9,0.6,21.6,26.1,89.5,83.4,0.2,56,9.5,4.4,29.8,11.8,48.2,16.1
BLUE SPRING HEALTHCARE PARTNERS,85,5,1,0,0,0,0,100,0,0,4.4,3.6,2.8,4.8,3.5,3.2,0.5,59.9,55.5,0.5,2,0.4,11962.73,2392.55,0,0,24.4,7.3,0.8,3.2,87.9,82.8,92.3,1.57,0.47,12.1,2.9,7.8,1.4,0.6,11.9,9.5,97.1,97.4,0,44.6,7.5,2.5,29.5,11.3,44.5,19.8
BONAMOUR HEALTH GROUP,576,6,1,0,0,1,16.7,100,0,0,1.7,1.3,2.7,3.3,3.8,3.3,1,,,,14,2.3,509808.72,84968.12,0,0,20.3,12.1,2.3,3.3,73.6,64,83.7,1.82,1.11,13.8,4,11.3,1.3,1.4,21,14.9,91.3,97.3,0,60.8,7.4,1.9,24.2,10.5,20.8,37.4
BONCREST RESOURCE GROUP,86,2,2,0,0,0,0,100,0,0,4,4,3,4,4,3.7,0.6,69.5,53.6,1.5,0,0,0,0,0,0,24.7,14.6,0.7,0.8,70.4,96.2,97.6,2.01,0.74,14.4,6.5,2.9,1.2,0.9,17,13.5,99.8,97.1,0,71.9,5,1.2,23.2,11.1,36.7,11.8
BOOKER HOSPITAL DISTRICT,587,5,1,0,0,0,0,80,0,20,1.8,2.2,1.2,2.2,2.9,2.5,0.2,60,81.7,0.8,15,3,193561.31,38712.26,2,0.4,22,13.8,3.7,5.5,67.7,54.9,64.6,2.44,1.47,18,2.9,7.2,3.3,2.1,22.1,25.2,91.9,85.2,0,50,5.3,5,28,10.4,18.4,4.1
BRADFORD MONTGOMERY,87,11,2,0,0,1,9.1,100,0,0,3,2.7,2.8,3.4,3.5,3.2,0.3,56.5,77.1,0.4,8,0.7,131681.45,11971.04,4,0.4,28,11.9,2.7,3.1,73.8,67,83.1,2.37,1.26,17.3,4.1,6,1.3,2.4,8.8,8.9,96.4,93.7,0,30.9,2.8,6.8,28.6,10.5,44.3,0.6
BRIA HEALTH SERVICES,88,15,1,0,0,7,46.7,100,0,0,1.6,1.6,1.5,3.5,3.3,2.7,0.5,64.3,63.5,1.3,70,4.7,3340027.02,222668.47,23,1.5,25.8,15.6,2.3,0.8,76.5,50,42.7,2.32,1.57,8.9,2.6,5.8,0.1,0.7,14.6,12.9,82.9,65.9,0,35.6,6.8,72.9,18.8,11.1,46.4,7.8
BRIAR HILL MANAGEMENT,89,6,1,0,0,3,50,100,0,0,1.8,2.5,3.5,1.5,3.9,3.3,0.7,56.2,54.6,0.3,5,0.8,144244.25,24040.71,0,0,30.7,15.5,1.1,4.3,69.4,90.8,97.4,3.06,2.39,21.6,4.3,6.7,0.3,1.7,28.6,26,98.7,96.4,0,67.4,11.2,1,19.9,10.7,19.2,1.5
BRICKYARD HEALTHCARE,90,23,1,0,0,6,26.1,95.7,0,4.3,2.2,2.1,1.7,4.2,3.4,2.9,0.5,54.9,47.5,0.9,28,1.2,452767.6,19685.55,2,0.1,21.6,13.3,2.4,2,89.5,56.8,60.2,1.8,1.41,14.4,3.2,6.7,0,0.4,9.6,12.2,91.3,84,0,57.2,6.1,33.3,26.5,10.9,20.5,1.9
BRIDGES HEALTH,91,31,1,0,0,1,3.2,100,0,0,3.5,3.4,2.7,3.5,3.4,3.1,0.4,54.5,51.9,0.4,43,1.4,145020.28,4678.07,2,0.1,26.6,22.4,1.5,4.4,85.8,87.7,91.3,2.15,2,10.5,3.8,8.3,1.4,0.5,7.8,6.8,98.2,98.6,0.3,35.8,2.8,1.7,22.8,10.6,47.7,5.7
BRIUS MANAGEMENT,92,36,1,0,1,4,11.1,94.4,0,5.6,2.6,2.2,3.1,4.1,3.9,3.6,0.5,47.4,45.8,0.7,109,3,995926.62,27664.63,9,0.3,20.9,11.7,2.1,1.9,81.3,91.9,94.1,2.15,1.01,13.4,1.6,8.2,1,1.1,10.8,8.9,98.5,98.8,0,27.9,5.8,16.4,12.4,10.7,48,23.8
BROOKDALE SENIOR LIVING,93,15,10,0,0,2,13.3,100,0,0,3.1,2.8,4,3.7,4.8,4.3,1.2,54.9,55.3,0.8,32,2.1,650163.84,43344.26,3,0.2,25.3,12.3,1.8,2.5,71.7,82.5,84,1.41,0.75,14.3,4.6,9.9,2.9,1.8,22.2,14.2,94.1,95.5,0,73.4,8.2,2,16.9,10.4,39.3,12.6
C. ROSS MANAGEMENT,95,10,2,0,3,2,20,90,0,10,1.4,1.9,1.9,2.2,3.1,2.7,0.3,51.3,58.6,0.4,26,2.6,604165.98,60416.6,1,0.1,23.3,12.4,3.5,2.6,65.1,53.8,58.7,2.25,1.68,23.9,2.8,8.1,4,2.1,21.4,20.1,86.3,86.4,0,40.4,7.2,5.7,25.6,13,20,9.9
CADIA HEALTHCARE,96,5,1,0,1,0,0,100,0,0,3.4,2.6,2.8,5,3.3,3,0.7,55.3,52.1,0.3,2,0.4,109273,21854.6,0,0,19,13.2,0.2,1.6,89.2,89.2,96.1,1.89,1.13,7,2.9,7.6,1.8,0.1,11.6,8.2,97,99.3,0,52.4,3.3,4.9,23.1,9.4,57.2,4.8
CALDERA CARE,97,16,3,0,1,2,12.5,100,0,0,2,1.8,1.9,4.1,3.5,3,0.6,61.2,62.8,1.1,69,4.3,2009682.76,125605.17,7,0.4,17.4,15.9,1.3,2.8,80.2,70.8,74.5,1.11,1.07,13.7,2,8.4,2.1,1,13.9,11.6,95.6,94,0,55.1,6.7,12.6,10.3,10,47.6,17.4
CAMBRIDGE HEALTHCARE SERVICES,98,35,1,0,4,6,17.1,97.1,0,2.9,2.7,2.1,2.7,4.5,3.9,3.5,0.3,45,51.7,0.5,83,2.4,969168.25,27690.52,7,0.2,23.1,10.7,1.2,0.9,83.5,99,98.6,2.11,0.96,11.1,1.5,7.1,0.6,0.6,9.4,5.7,99.5,99.6,0.1,33.7,4.5,15.1,12.2,10.5,45.1,12.5
CAMPBELL STREET SERVICES,99,12,2,0,1,2,16.7,100,0,0,1.8,1.9,2.8,2.9,3.6,3.2,0.5,58.3,58,1.1,39,3.3,473158.42,39429.87,9,0.8,18.3,18.6,0.3,1.8,77,75,90.8,2.09,1.35,15.3,2.7,6.1,1.7,2.7,24.2,21,91.8,96.9,0.4,47,5,3.3,21.1,9.7,42.4,10.1
CANTEX CONTINUING CARE,100,35,2,0,0,1,2.9,91.4,0,8.6,2.7,2.7,1.5,3.9,3.3,2.8,0.3,55.4,58.7,1.1,54,1.5,1326406.96,37897.34,9,0.3,26.8,12.8,0.8,1.5,71.4,97,98,2.15,1.34,4.7,2.9,6.6,0.7,1,13.9,16.8,99.3,99.8,0,48.3,3.5,1.6,18.7,10.9,5.5,1.9
CANYON CREEK HEALTHCARE,101,15,1,0,0,1,6.7,93.3,6.7,0,2.5,3,2,3.2,3.1,2.6,0.5,65.2,66.1,1.3,39,2.6,623951.25,41596.75,2,0.1,21.8,19.4,1.5,2,76.7,81.4,87.7,1.59,2.5,14.9,4.5,7.2,0.4,1.7,14,14,99,99.3,0,47.8,6.4,1.3,11,10.6,21.6,13.1
CAPITAL HEALTH CARE NETWORK,607,6,1,0,0,0,0,100,0,0,1.3,1.5,2.3,2.8,3.6,3.1,0.6,52.2,52.8,1,17,2.8,245220.29,40870.05,3,0.5,29.1,13.9,1.2,2,80.2,77.6,92.9,2.07,1.81,16.3,3.5,7.2,1,0.2,17.2,13.2,95.2,99,0.1,46,6,15,26.4,11.4,19.9,0.5
CAPSTONE MANAGEMENT,102,8,2,0,0,1,12.5,100,0,0,3.3,3,3.4,3.8,4.1,3.6,0.7,61.9,57.1,0,7,0.9,78808.79,9851.1,0,0,18.1,12.8,1.7,3.1,79.7,75.3,80.6,1.73,0.96,14.3,3.8,9.9,3.2,1.4,15.6,13.2,86.8,92.3,0.2,54.2,6.7,7.6,16.3,10.3,46.6,5.6
CARADAY HEALTHCARE,103,21,1,0,0,4,19,81,0,19,2.6,2.8,1.2,4.4,3,2.7,0.4,59.9,56.9,0.4,59,2.8,745512.76,35500.61,6,0.3,22,11.1,0.8,2.4,83.1,67.4,73.9,1.8,0.91,7.9,3.5,7,0.4,0.6,12.4,12.5,97.8,95.8,0.1,56.4,4.9,4.2,20.8,10.5,60.6,34.6
CARDON & ASSOCIATES,105,19,1,0,0,0,0,52.6,0,47.4,3.4,3.3,1.6,4.5,3.4,2.9,0.5,60.7,55,0.4,32,1.7,453397.35,23863.02,1,0.1,21.2,10.5,1.1,2.1,73.7,73.4,78.8,1.32,0.91,11.1,4,5.7,0.9,0.1,11.7,13.9,94.9,90,0,70,6.9,7.9,23.4,10.5,39.7,11.9
CARE INITIATIVES,106,43,1,0,2,5,11.6,18.6,81.4,0,2.1,2.1,2.2,3.1,3.1,2.7,0.6,62,64.5,1.2,95,2.2,2560173.51,59538.92,21,0.5,22.6,15.3,2.6,2.7,77.9,68.6,81.9,1.49,1.32,22.1,3,5.6,1.5,2.8,19.9,15.5,94.8,95.3,0,47.3,5.3,6.5,21,10.1,49.9,11
CARE NETWORK,107,9,2,0,1,1,11.1,100,0,0,2,1.9,1.8,3.3,3.2,2.8,0.5,68.8,70.1,0.6,24,2.7,687539.45,76393.27,1,0.1,20.9,10.7,4,2.8,81.1,71.1,78.4,1.8,0.87,20.5,2,9.3,1.4,1.1,11.9,12.2,95.6,93.9,0,50.9,4.7,9.9,21.7,10.2,33.7,4.4
CARECORE HEALTH,108,8,1,0,1,0,0,100,0,0,1.8,1.5,1.3,4,3.4,3,0.4,71,63.1,0.8,28,3.5,539380.69,67422.59,12,1.5,23.5,16.9,1.7,2.9,74.3,47.4,71.1,1.57,1.18,12.2,2.8,7.1,0.9,0.4,10.1,13.3,88.9,89.1,0,27.8,6,41.7,23.7,11.9,28.6,0
CAREONE,109,37,4,0,0,0,0,100,0,0,3.8,3.4,3,4.3,3.6,3.2,0.7,38.5,43.3,0.9,40,1.1,840328.28,22711.58,2,0.1,25.3,10.2,1.2,2.3,81.5,78,81.8,1.73,0.73,17.3,3.2,10.3,1.6,1.6,12.9,9.1,94.5,93,0.1,61.6,6,10.6,16.9,10.9,47.9,13.1
CARERITE CENTERS,110,32,7,0,0,0,0,96.9,3.1,0,3.1,2.4,2,4.6,3.4,3,0.6,52.3,52,0.6,31,1,445227.71,13913.37,3,0.1,19,8.3,1.3,2.9,80.8,70.7,71.1,1.57,0.65,8.9,2.6,8.3,1.1,0.4,13.5,13.9,93.4,88.5,0,58,6.7,7.6,19,10.5,38.2,13.9
CARESPRING,111,15,2,0,0,0,0,100,0,0,4.2,3.9,2.2,4.3,3.8,3.2,0.6,58.2,47,0.6,8,0.5,65655.08,4377.01,0,0,23.3,11.9,1.1,1.9,89.3,91.9,97.3,2.09,1.27,13.3,3.3,6.2,0.2,0.7,5.7,13.2,97.5,98.9,0,58.6,7.7,36.7,23.2,10.4,49.9,1.1
CARING HEALTHCARE GROUP,113,13,1,0,0,1,7.7,53.8,0,46.2,2.5,2.5,1.8,3.9,3.5,2.8,0.4,53.7,48.7,0.4,10,0.8,178635.65,13741.2,0,0,22.7,14.9,0.6,1.1,46.9,86.6,97.9,2.22,1.19,4.8,1.7,3.4,0.3,1.9,5.2,10.8,97.7,99.6,0,29,5.2,9.9,19.8,10.6,27.9,7.8
CARING PLACE HEALTHCARE GROUP,114,5,1,0,0,0,0,100,0,0,3.8,3.4,2.4,3.8,3.7,3.4,0.5,54.2,38.6,0.4,3,0.6,36989,7397.8,1,0.2,30.1,10.4,1.2,1.1,78.3,83.7,87.3,1.39,0.93,18,3.2,2.4,2.9,0.8,13.9,14.8,93.5,88.8,0,60.9,6.8,40.8,20,10.8,46.6,4.3
CARLYLE SENIOR CARE,599,8,1,0,0,2,25,100,0,0,2.1,2.6,2.8,2,3.4,3,0.5,50.9,40.8,0.3,12,1.5,225330,28166.25,0,0,26.9,18.6,2.2,3.5,78,78.3,85.3,2.49,1.96,16.1,3.2,10,2.7,1.5,18,14.4,96.1,97.7,0.2,52.9,7.6,1.6,18.4,10.8,33.6,13.1
CARMELITE SISTERS FOR THE AGED AND INFIRM,637,2,2,0,0,0,0,0,100,0,2.5,2.5,3,4,4.1,3.8,0.6,55,62.7,1.5,5,2.5,44231.06,22115.53,0,0,28.3,12.6,1.9,1.2,85.8,79.2,84.9,2.1,0.34,10.8,3.3,5.3,1.7,0.5,10.5,10.9,98.2,94.5,0,65.4,4.9,6.1,14.5,9,62.2,6.6
CARMELITE SISTERS FOR THE AGED AND INFIRMED,115,4,3,0,0,0,0,0,100,0,4,3.5,3,4.5,4.2,3.7,0.6,55.6,62.2,0.7,11,2.8,63586.81,15896.7,0,0,24.9,8.8,1.3,2.3,86.7,70.8,74.8,1.68,0.63,12,2.7,5.3,3,1,20.1,12.6,96.3,85.6,0,58.1,8,1.7,11.4,9.6,61.7,17.1
CARROLTON HEALTH,116,6,1,0,0,3,50,100,0,0,1.5,1.8,1.8,2.2,3.5,3.1,0.3,57.3,40.4,1.3,5,0.8,118560.44,19760.07,1,0.2,25.2,18.8,1,1.9,73.6,45,47,1.4,1.68,10.4,2.1,17.3,0.4,2.1,26,16.2,89.1,74.9,0,36.7,8.5,0.2,21.1,11,25.6,1.2
CASCADES HEALTHCARE,117,19,3,1,2,8,42.1,84.2,0,15.8,2.3,1.7,1.9,4.4,3.5,3,0.7,62.8,54.5,0.8,103,5.4,1958258.91,103066.26,11,0.6,21.4,9.2,2,2.1,75.1,68.9,78.5,1.31,1,16.4,2.6,7.1,0.8,0.9,10.9,11.4,92.8,89.3,0,42.4,4.9,10.8,20.5,10,46.4,24.7
CASCADIA HEALTHCARE,118,42,6,1,2,7,16.7,95.2,4.8,0,3.1,2.8,2.8,4.3,3.7,3.1,0.8,61.6,53.3,0.7,143,3.4,1889292.54,44983.16,6,0.1,17,12.7,1.3,1.4,77.6,78.7,83.8,1.02,1.17,16.9,3.4,6,1.6,1.1,17.5,13.8,94.8,96.1,0,46.1,4.7,10.2,14.1,9.8,43.3,22.7
